Strategy,ExecutionTime,AvgGPUUtil,AvgMemUtil,AvgPower,MaxPower,AvgTemp,AvgSMClock,AvgMemClock,MemoryUsedMB
0,iterations),62.7273,2.90909,65.8655, 94.24 W,48.3636,1333.64,4475.18,0.196555
2,iterations),62.7273,2.90909,68.8755, 94.91 W,52.6364,1328.18,4512,0.197177
3,iterations),62.9091,2.90909,69.0882, 94.67 W,54.0909,1324.09,4512,0.196467
4,iterations),63.1818,3,69.2318, 95.01 W,54.8182,1322.73,4512,0.1962
5,iterations),62.7273,2.90909,69.2073, 95.14 W,55.0909,1322.73,4512,0.1962
6,iterations),63.1818,3,69.5191, 94.91 W,55.3636,1322.73,4512,0.196378
7,iterations),62.7273,2.90909,69.02, 94.84 W,55.6364,1322.73,4512,0.197177
8,iterations),62.8182,2.90909,69.37, 95.11 W,55.7273,1322.73,4512,0.196733
9,iterations),63.1818,3,69.4009, 95.17 W,55.8182,1322.73,4512,0.1962
