Strategy,ExecutionTime,AvgGPUUtil,AvgMemUtil,AvgPower,MaxPower,AvgTemp,AvgSMClock,AvgMemClock,MemoryUsedMB
0,iterations),63.0909,3,67.0455, 93.31 W,46.3636,1333.64,4475.18,0.1962
2,iterations),62.7273,2.90909,68.0445, 94.10 W,51,1329.55,4512,0.196822
3,iterations),63.1818,3,68.0736, 93.63 W,52.8182,1322.73,4512,0.196999
4,iterations),63,2.90909,68.45, 94.00 W,53.7273,1322.73,4512,0.1962
5,iterations),62.7273,2.90909,68.5655, 94.19 W,54.3636,1322.73,4512,0.1962
6,iterations),63.1818,3,68.6473, 94.23 W,54.7273,1322.73,4512,0.1962
7,iterations),63.0909,2.90909,68.66, 94.35 W,54.8182,1322.73,4512,0.196555
8,iterations),62.7273,2.90909,68.9264, 94.27 W,54.9091,1322.73,4512,0.197177
9,iterations),63.1818,3,68.8482, 94.51 W,55.2727,1321.36,4512,0.196467
