kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Baseline,20.756666666666664,51.22,471.6,12.3069,255.450221,3143.8003248248997,1.0298568122271512,1.0269113126021558,38690.43621758756,Global Memory Atomics
Strategy3,20.0972602739726,51.4,446.3013698630137,12.3422,248.0444057534246,3061.4136646899183,1.0,1.0,37784.57973233591,"Shared Memory, Input Tile Loading"
Strategy6,20.846388888888892,50.1,479.58333333333326,12.3828,258.13666433333333,3196.4546871068,1.0406873057638766,1.04411067474299,39581.059099506085,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
Strategy2,26.441486486486486,57.42,495.40540540540536,12.3876,327.546558,4057.5157418808003,1.3205158044386884,1.3253732380827323,50262.882004122606,"Shared Memory, Global Atomics"
Strategy4,20.827916666666667,50.13,500.41666666666674,12.3853,257.9599962916667,3194.91194207118,1.0399750621592283,1.0436067425062543,39569.94287613419,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Strategy8,20.74388888888889,50.42,484.16666666666674,12.3313,255.7991170555556,3154.3356521471724,1.0312633993037508,1.0303526401965892,38897.05922732243,"Local Histogram, Improved Memory Layout, Input Tiling"
Strategy7,20.16864864864865,50.47,466.2162162162162,12.3469,249.020288,3074.6285939071995,1.0039343046000622,1.0043166101235197,37962.1317861128,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy5,21.223055555555558,50.09,507.29166666666674,12.373,262.59286638888887,3249.0615358297223,1.0586526456473544,1.0612945167469912,40200.638382821155,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy1,56.7266371681416,118.3,1060.6194690265486,12.3691,701.6574477964602,8678.871137539196,2.828757397955437,2.83492271483614,107349.82498733606,"Private Histograms, Final Reduction"
Strategy9,20.76361111111111,50.12,467.29166666666674,12.3428,256.28109922222217,3163.226351480045,1.0332065278544742,1.033256755845976,39043.0702110479,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
