kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Strategy1,56.66324561403509,118.34,1057.1052631578948,12.3416,699.3151120701755,8630.667387125277,2.8457039071114463,2.8419044464769363,106516.24462494532,"Private Histograms, Final Reduction"
Baseline,20.215270270270267,50.1,464.1891891891892,12.3344,249.3432296216216,3075.4991314449294,1.0146456018168128,1.01269974438217,37934.43648689434,Global Memory Atomics
Strategy9,20.78,50.38,492.70833333333326,12.3893,257.44965399999995,3189.6209983021995,1.0476328533835142,1.0502777700798966,39517.171434265445,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
Strategy5,20.223055555555558,50.33,474.16666666666674,12.3931,250.62634980555558,3106.037415775231,1.0198669677757226,1.0227553845932071,38493.432297444015,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy8,20.90263888888889,51.97,488.54166666666674,12.3475,258.0953336805556,3186.8321326206606,1.050260300092424,1.0493594529410837,39349.409757533605,"Local Histogram, Improved Memory Layout, Input Tiling"
Strategy3,20.61111111111111,50.75,488.95833333333326,12.3973,255.52212777777774,3167.7844746994438,1.0397892235134265,1.0430874439163786,39271.974468191416,"Shared Memory, Input Tile Loading"
Strategy4,21.230972222222224,50.38,491.66666666666674,12.3159,261.4785307916667,3220.3434373770874,1.0640274517976354,1.060394048728728,39661.42774039247,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Strategy7,19.88527027027027,50.01,446.95945945945954,12.3581,245.74415852702703,3036.9308854928527,1.0,1.0,37530.695576009224,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy2,24.925616438356162,51.37,460.6849315068493,12.4014,309.11253969863014,3833.428249818592,1.2578632247107262,1.262270494244876,47539.87709730029,"Shared Memory, Global Atomics"
Strategy6,20.56943661971831,48.78,459.7183098591549,12.3405,253.83713260563385,3132.477134919824,1.0329325186287863,1.031461450072304,38656.33408347809,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
