kernel,power_watts,execution_time_sec,energy_joules,edp,ed2p,energy_normalized,edp_normalized,ed2p_normalized,performance_per_watt,performance_per_watt_normalized
Baseline,20.375466666666668,12.3756,252.15862528000002,3120.6142830151684,38619.474120882514,1.0339117264180986,1.0368440725296841,1.0397847352639547,0.003965757661034151,0.9672005592435025
Strategy1,56.164999999999985,12.3197,691.9359504999998,8524.443329374846,105018.58448489929,2.8371057795774903,2.832300866461987,2.8275040909317006,0.0014452204705903632,0.35247187722021517
Strategy2,26.182702702702706,12.3411,323.1233523243244,3987.69760336972,49212.57489294606,1.3248843765573282,1.32493805645849,1.3249917385345829,0.0030947933438010477,0.7547828457291267
Strategy3,20.208309859154934,12.3284,249.1361272676057,3071.44983140595,37866.062101505115,1.0215187490427664,1.02050886875021,1.0194999868320898,0.004013869891000856,0.97893455302418
Strategy4,20.21506666666666,12.3772,250.2059231466666,3096.848751970922,38330.31637289449,1.0259051724816102,1.02894782270225,1.031999496876188,0.0039967079412976825,0.9747489600632904
Strategy5,19.76305555555555,12.3406,243.8879633888888,3009.7238009969215,37141.79753858261,1.0,1.0,1.0,0.00410024334987562,1.0
Strategy6,20.366478873239437,12.3583,251.69505585915493,3110.523008824194,38440.77649995204,1.0320109789830727,1.0334911820791943,1.034973508215914,0.0039730617535832175,0.9689819394996981
Strategy7,21.02333333333333,12.3477,259.58981299999994,3205.337133980099,39578.541329246065,1.0643814044487054,1.0649937821265805,1.065606512127804,0.0038522312892147284,0.9395128436295337
Strategy8,21.195000000000004,12.3474,261.70314300000007,3231.353387878201,39898.8128214873,1.0730465717272988,1.0736378490304885,1.0742294521432552,0.003821123386355355,0.9319260005558616
Strategy9,20.545277777777773,12.318,253.0767316666666,3117.399180669999,38400.123107493055,1.0376761860245065,1.0357758341936267,1.0338789625785696,0.003951370769704438,0.9636917696176015
