kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Strategy2,26.054324324324323,50.98,475.74324324324317,12.3271,321.1742613783784,3959.147237437408,1.3412798748572552,1.3370605810571623,48804.80391061467,"Shared Memory, Global Atomics"
Strategy4,20.851917808219174,50.31,484.93150684931504,12.3374,257.2584507671233,3173.9004104943074,1.0743562736628678,1.071871509840552,39157.67892443247,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Strategy1,54.99603448275861,117.93,1022.8448275862069,12.3929,681.5603557413791,8446.509332667336,2.8463152206941,2.8525068654811503,104676.74550881302,"Private Histograms, Final Reduction"
Strategy7,19.70732394366197,48.96,448.30985915492965,12.3038,242.47497233802815,2983.3635646526313,1.012617882758713,1.0075244950579532,36706.70862677305,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy3,21.019583333333326,50.74,476.66666666666674,12.3379,259.33751720833334,3199.680353564695,1.083038818659214,1.0805777648985535,39477.33623424585,"Shared Memory, Input Tile Loading"
Strategy5,21.29625,50.56,480.0,12.3841,263.734889625,3266.119246604963,1.1014030147794596,1.1030151282007359,40447.94736188052,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy8,19.363866666666667,50.98,446.6,12.366,239.4535752,2961.0829109232,1.0,1.0,36616.75127647629,"Local Histogram, Improved Memory Layout, Input Tiling"
Strategy9,21.011527777777776,50.58,488.75,12.3811,260.1458265694444,3220.8914933389483,1.0864144598891936,1.087741069815146,39878.179668178855,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
Baseline,20.100263157894734,50.89,441.31578947368416,12.3621,248.48146318421055,3071.752696029529,1.0377020388051008,1.0373747674197429,37973.31400358664,Global Memory Atomics
Strategy6,20.535833333333333,51.3,456.45833333333326,12.3973,254.58888658333333,3156.214803639558,1.0632077068412604,1.0658988277553905,39128.54178516069,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
