technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Input Tile Loading,248.0444057534246,3061.4136646899183,20.0972602739726,12.3422,1
Optimized Shared Memory,249.020288,3074.6285939071995,20.16864864864865,12.3469,1
Linear Indexing,249.020288,3074.6285939071995,20.16864864864865,12.3469,1
Global Memory Atomics,255.450221,3143.8003248248997,20.756666666666664,12.3069,1
Input Tiling,255.7991170555556,3154.3356521471724,20.74388888888889,12.3313,1
Improved Memory Layout,255.7991170555556,3154.3356521471724,20.74388888888889,12.3313,1
Local Histogram,255.7991170555556,3154.3356521471724,20.74388888888889,12.3313,1
Efficient Reduction,256.28109922222217,3163.226351480045,20.76361111111111,12.3428,1
Optimized Memory,256.28109922222217,3163.226351480045,20.76361111111111,12.3428,1
Per-block Local Histogram,256.28109922222217,3163.226351480045,20.76361111111111,12.3428,1
Coalesced Access,256.58327290740743,3173.381605614574,20.746031031031034,12.367566666666667,3
Padded Indexing,257.9599962916667,3194.91194207118,20.827916666666667,12.3853,1
Bank Conflict Avoidance,257.9599962916667,3194.91194207118,20.827916666666667,12.3853,1
Optimized Tile Size,258.13666433333333,3196.4546871068,20.846388888888892,12.3828,1
Direct Global Memory,258.13666433333333,3196.4546871068,20.846388888888892,12.3828,1
Memory Optimization,262.59286638888887,3249.0615358297223,21.223055555555558,12.373,1
Shared Memory,274.03595660849504,3390.725721117905,22.14742974567033,12.372024999999999,4
Global Atomics,327.546558,4057.5157418808003,26.441486486486486,12.3876,1
Private Histograms,701.6574477964602,8678.871137539196,56.7266371681416,12.3691,1
Final Reduction,701.6574477964602,8678.871137539196,56.7266371681416,12.3691,1
