kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Strategy5,20.648767123287676,49.76,489.8630136986301,12.3381,254.76655364383566,3143.335215513009,1.0745859625825551,1.0753703891557231,38782.78422252106,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy4,20.467083333333328,50.19,498.75,12.3955,253.69973145833333,3144.7350212917704,1.0700861876760142,1.0758492784824547,38980.56295642214,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Baseline,20.056133333333328,50.26,473.4,12.343,247.5528537333333,3055.544873630533,1.0441591245567683,1.0453363241764764,37714.59037522167,Global Memory Atomics
Strategy6,20.28,50.49,470.83333333333326,12.4084,251.642352,3122.4789605568008,1.0614083174689168,1.0682352293745132,38744.96793417301,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
Strategy9,20.52189189189189,50.01,483.64864864864876,12.3413,253.2668244054054,3125.641860034429,1.0682602186250307,1.0693172929181445,38574.4838872429,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
Strategy7,20.66507042253521,51.23,460.35211267605627,12.3428,255.06483121126763,3148.214198674434,1.075844074694727,1.0770395442604959,38857.77821139881,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy1,55.73327433628319,117.54,1053.1858407079646,12.3359,687.5200988849557,8481.179187834927,2.8999075298085932,2.9015069467329986,104622.97834321288,"Private Histograms, Final Reduction"
Strategy3,19.520704225352112,50.15,454.85915492957747,12.3231,240.5555902394366,2964.3905940796008,1.0146451988883916,1.0141514182236773,36530.48172990233,"Shared Memory, Input Tile Loading"
Strategy2,25.6748,63.79,475.4,12.3819,317.9028061200001,3936.240755097229,1.3408898775611369,1.346632306897847,48738.13940553838,"Shared Memory, Global Atomics"
Strategy8,19.229583333333334,50.32,440.0,12.3291,237.08345587500003,2923.0256358284632,1.0,1.0,36038.27536669271,"Local Histogram, Improved Memory Layout, Input Tiling"
