technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Input Tiling,237.08345587500003,2923.0256358284632,19.229583333333334,12.3291,1
Local Histogram,237.08345587500003,2923.0256358284632,19.229583333333334,12.3291,1
Improved Memory Layout,237.08345587500003,2923.0256358284632,19.229583333333334,12.3291,1
Input Tile Loading,240.5555902394366,2964.3905940796008,19.520704225352112,12.3231,1
Global Memory Atomics,247.5528537333333,3055.544873630533,20.056133333333328,12.343,1
Optimized Tile Size,251.642352,3122.4789605568008,20.28,12.4084,1
Direct Global Memory,251.642352,3122.4789605568008,20.28,12.4084,1
Per-block Local Histogram,253.2668244054054,3125.641860034429,20.52189189189189,12.3413,1
Efficient Reduction,253.2668244054054,3125.641860034429,20.52189189189189,12.3413,1
Optimized Memory,253.2668244054054,3125.641860034429,20.52189189189189,12.3413,1
Padded Indexing,253.69973145833333,3144.7350212917704,20.467083333333328,12.3955,1
Bank Conflict Avoidance,253.69973145833333,3144.7350212917704,20.467083333333328,12.3955,1
Coalesced Access,253.82457895170106,3138.0094582480815,20.531279181940963,12.363100000000001,3
Memory Optimization,254.76655364383566,3143.335215513009,20.648767123287676,12.3381,1
Linear Indexing,255.06483121126763,3148.214198674434,20.66507042253521,12.3428,1
Optimized Shared Memory,255.06483121126763,3148.214198674434,20.66507042253521,12.3428,1
Shared Memory,266.7311703654014,3297.1753964954023,21.57783867049328,12.359650000000002,4
Global Atomics,317.9028061200001,3936.240755097229,25.6748,12.3819,1
Final Reduction,687.5200988849557,8481.179187834927,55.73327433628319,12.3359,1
Private Histograms,687.5200988849557,8481.179187834927,55.73327433628319,12.3359,1
