technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Linear Indexing,245.74415852702703,3036.9308854928527,19.88527027027027,12.3581,1
Optimized Shared Memory,245.74415852702703,3036.9308854928527,19.88527027027027,12.3581,1
Global Memory Atomics,249.3432296216216,3075.4991314449294,20.215270270270267,12.3344,1
Coalesced Access,250.06921364607217,3091.815145395969,20.22592081518138,12.363900000000001,3
Memory Optimization,250.62634980555558,3106.037415775231,20.223055555555558,12.3931,1
Direct Global Memory,253.83713260563385,3132.477134919824,20.56943661971831,12.3405,1
Optimized Tile Size,253.83713260563385,3132.477134919824,20.56943661971831,12.3405,1
Input Tile Loading,255.52212777777774,3167.7844746994438,20.61111111111111,12.3973,1
Efficient Reduction,257.44965399999995,3189.6209983021995,20.78,12.3893,1
Optimized Memory,257.44965399999995,3189.6209983021995,20.78,12.3893,1
Per-block Local Histogram,257.44965399999995,3189.6209983021995,20.78,12.3893,1
Input Tiling,258.0953336805556,3186.8321326206606,20.90263888888889,12.3475,1
Local Histogram,258.0953336805556,3186.8321326206606,20.90263888888889,12.3475,1
Improved Memory Layout,258.0953336805556,3186.8321326206606,20.90263888888889,12.3475,1
Bank Conflict Avoidance,261.4785307916667,3220.3434373770874,21.230972222222224,12.3159,1
Padded Indexing,261.4785307916667,3220.3434373770874,21.230972222222224,12.3159,1
Shared Memory,269.18488701840755,3331.898394417589,21.747688831811264,12.376925,4
Global Atomics,309.11253969863014,3833.428249818592,24.925616438356162,12.4014,1
Final Reduction,699.3151120701755,8630.667387125277,56.66324561403509,12.3416,1
Private Histograms,699.3151120701755,8630.667387125277,56.66324561403509,12.3416,1
