kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Strategy5,21.481805555555553,50.5,478.54166666666674,12.3728,265.79008377777774,3288.5675485656884,1.0505150143255428,1.0484558621973752,40688.78856489355,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy7,20.40875,51.37,452.91666666666674,12.3971,253.00931462500003,3136.581774337588,1.0,1.0,38884.51791464051,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy2,26.140131578947372,64.69,485.9210526315789,13.0476,341.0659807894737,4450.092490948736,1.3480372503083042,1.4187713922709853,58063.02678490272,"Shared Memory, Global Atomics"
Strategy4,20.84605633802817,50.71,492.0422535211268,12.4139,258.78085877464787,3212.4797027426007,1.0228115876215949,1.0241976565144846,39879.40178187637,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Strategy1,56.282072072072076,118.46,1033.6486486486488,12.5303,705.2312476846847,8836.759102863407,2.7873726654291344,2.81732144692119,110727.24258660935,"Private Histograms, Final Reduction"
Strategy9,20.612638888888892,49.86,487.5,12.3801,255.18653070833332,3159.234768822238,1.0086052803493035,1.0072221915812904,39111.64236149619,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
Strategy6,20.890416666666667,50.94,460.0,12.3536,258.0718513333333,3188.116422631467,1.020009289839138,1.0164301943968166,39384.71503862009,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
Strategy8,20.83111111111111,50.69,470.41666666666674,12.4881,260.14099866666663,3248.6668054491993,1.0281874367046009,1.0357347708988975,40569.675933130144,"Local Histogram, Improved Memory Layout, Input Tiling"
Strategy3,20.320533333333334,50.37,467.6,14.2836,290.25036992,4145.820183789312,1.1471924278764092,1.3217637804660345,59217.23717717302,"Shared Memory, Input Tile Loading"
Baseline,20.491600000000005,50.42,457.2,12.4002,254.09993832000006,3150.8900551556653,1.0043106068905665,1.0045617432757987,39071.66686194128,Global Memory Atomics
