kernel,power_watts,max_power_watts,clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized,ed2p,optimizations
Strategy6,20.36647887323944,50.34,450.42253521126764,12.3583,251.69505585915496,3110.523008824195,1.0320109789830725,1.033491182079194,38440.77649995205,"Optimized Tile Size, Coalesced Access, Direct Global Memory"
Strategy3,20.20830985915493,50.48,472.1830985915493,12.3284,249.13612726760562,3071.4498314059497,1.0215187490427655,1.0205088687502093,37866.06210150511,"Shared Memory, Input Tile Loading"
Strategy7,21.023333333333326,50.58,494.58333333333326,12.3477,259.58981299999994,3205.3371339800988,1.064381404448705,1.06499378212658,39578.541329246065,"Linear Indexing, Optimized Shared Memory, Coalesced Access"
Strategy8,21.195,50.65,476.66666666666674,12.3474,261.703143,3231.3533878782005,1.073046571727298,1.073637849030488,39898.81282148729,"Local Histogram, Improved Memory Layout, Input Tiling"
Strategy5,19.763055555555557,50.39,452.08333333333326,12.3406,243.8879633888889,3009.7238009969233,1.0,1.0,37141.79753858263,"Shared Memory, Coalesced Access, Memory Optimization"
Strategy1,56.165,118.1,1045.982142857143,12.3197,691.9359505,8524.44332937485,2.83710577957749,2.832300866461987,105018.58448489933,"Private Histograms, Final Reduction"
Strategy2,26.182702702702702,60.01,497.8378378378378,12.3411,323.1233523243244,3987.6976033697206,1.3248843765573275,1.3249380564584894,49212.57489294606,"Shared Memory, Global Atomics"
Strategy4,20.215066666666672,50.27,451.0,12.3772,250.2059231466667,3096.848751970923,1.0259051724816102,1.0289478227022495,38330.31637289451,"Shared Memory, Bank Conflict Avoidance, Padded Indexing"
Baseline,20.375466666666668,50.83,456.6,12.3756,252.15862528,3120.6142830151684,1.0339117264180981,1.0368440725296837,38619.47412088252,Global Memory Atomics
Strategy9,20.545277777777773,49.95,474.375,12.318,253.07673166666663,3117.39918067,1.0376761860245065,1.0357758341936265,38400.12310749306,"Per-block Local Histogram, Efficient Reduction, Optimized Memory"
