technique,avg_energy,avg_edp,avg_power,avg_time,kernels_count
Local Histogram,239.4535752,2961.0829109232,19.363866666666667,12.366,1
Input Tiling,239.4535752,2961.0829109232,19.363866666666667,12.366,1
Improved Memory Layout,239.4535752,2961.0829109232,19.363866666666667,12.366,1
Optimized Shared Memory,242.47497233802815,2983.3635646526313,19.70732394366197,12.3038,1
Linear Indexing,242.47497233802815,2983.3635646526313,19.70732394366197,12.3038,1
Global Memory Atomics,248.48146318421055,3071.752696029529,20.100263157894734,12.3621,1
Coalesced Access,253.59958284878715,3135.2325382990507,20.513135758998434,12.361733333333333,3
Optimized Tile Size,254.58888658333333,3156.214803639558,20.535833333333333,12.3973,1
Direct Global Memory,254.58888658333333,3156.214803639558,20.535833333333333,12.3973,1
Bank Conflict Avoidance,257.2584507671233,3173.9004104943074,20.851917808219174,12.3374,1
Padded Indexing,257.2584507671233,3173.9004104943074,20.851917808219174,12.3374,1
Input Tile Loading,259.33751720833334,3199.680353564695,21.019583333333326,12.3379,1
Per-block Local Histogram,260.1458265694444,3220.8914933389483,21.011527777777776,12.3811,1
Efficient Reduction,260.1458265694444,3220.8914933389483,21.011527777777776,12.3811,1
Optimized Memory,260.1458265694444,3220.8914933389483,21.011527777777776,12.3811,1
Memory Optimization,263.734889625,3266.119246604963,21.29625,12.3841,1
Shared Memory,275.37627974470877,3399.711812025343,22.305518866469207,12.346625,4
Global Atomics,321.1742613783784,3959.147237437408,26.054324324324323,12.3271,1
Private Histograms,681.5603557413791,8446.509332667336,54.99603448275861,12.3929,1
Final Reduction,681.5603557413791,8446.509332667336,54.99603448275861,12.3929,1
