kernel,power_watts,execution_time_sec,energy_joules,edp,ed2p,energy_normalized,edp_normalized,ed2p_normalized,performance_per_watt,performance_per_watt_normalized
Baseline,20.100263157894734,12.3621,248.4814631842105,3071.7526960295286,37973.31400358663,1.0377020388051008,1.0373747674197427,1.0370475992495227,0.004024445072019939,0.9636677606911959
Strategy1,54.99603448275861,12.3929,681.5603557413791,8446.509332667336,104676.74550881302,2.8463152206940996,2.8525068654811503,2.858711979073374,0.001467221489008457,0.35133143115334253
Strategy2,26.05432432432433,12.3271,321.17426137837845,3959.147237437409,48804.80391061468,1.3412798748572559,1.337060581057163,1.332854559982998,0.003113574530251322,0.7455565529203395
Strategy3,21.019583333333337,12.3379,259.33751720833334,3199.680353564696,39477.336234245864,1.0830388186592146,1.0805777648985544,1.0781223035372693,0.0038559789218490553,0.9233279387325977
Strategy4,20.85191780821917,12.3374,257.2584507671232,3173.9004104943056,39157.678924432454,1.0743562736628676,1.0718715098405516,1.069392492762965,0.003887141499212499,0.9307899292947207
Strategy5,21.296249999999997,12.3841,263.73488962499994,3266.119246604962,40447.947361880506,1.1014030147794593,1.103015128200736,1.1046296012575396,0.0037916864220046225,0.9079328697863027
Strategy6,20.53583333333334,12.3973,254.5888865833334,3156.214803639559,39128.5417851607,1.0632077068412609,1.065898827755391,1.068596760256502,0.003927901227034412,0.9405499918458569
Strategy7,19.707323943661972,12.3038,242.47497233802818,2983.3635646526313,36706.70862677305,1.012617882758713,1.0075244950579534,1.0024567266936801,0.004124136979407201,0.9875393443335829
Strategy8,19.363866666666663,12.366,239.45357519999996,2961.0829109231995,36616.75127647629,1.0,1.0,1.0,0.004176174856294232,1.0
Strategy9,21.011527777777772,12.3811,260.14582656944435,3220.8914933389474,39878.17966817885,1.0864144598891936,1.087741069815146,1.0890692996513265,0.003843997857613357,0.9204590300666589
