kernel,power_watts,execution_time_sec,energy_joules,edp,ed2p,energy_normalized,edp_normalized,ed2p_normalized,performance_per_watt,performance_per_watt_normalized
Baseline,20.215270270270274,12.3344,249.34322962162167,3075.4991314449303,37934.43648689435,1.014645601816813,1.0126997443821701,1.0107576186555736,0.00401053600499801,0.9855657957905808
Strategy1,56.66324561403509,12.3416,699.3151120701755,8630.667387125277,106516.24462494532,2.8457039071114463,2.841904446476936,2.8381100587177444,0.0014299705279351251,0.35140690410586595
Strategy2,24.925616438356165,12.4014,309.11253969863014,3833.428249818592,47539.87709730028,1.2578632247107262,1.262270494244876,1.2666932058591858,0.0032350677231501247,0.7949989954034727
Strategy3,20.611111111111107,12.3973,255.5221277777777,3167.7844746994433,39271.97446819141,1.0397892235134258,1.0430874439163782,1.0463961263029524,0.003913555388321121,0.9617333757518864
Strategy4,21.230972222222228,12.3159,261.47853079166674,3220.3434373770883,39661.42774039248,1.0640274517976354,1.0603940487287282,1.0567730528752919,0.003824405762768917,0.9398253760375606
Strategy5,20.223055555555554,12.3931,250.62634980555555,3106.037415775231,38493.432297444015,1.0198669677757226,1.0227553845932067,1.0256519818420367,0.003990003448463555,0.9805200399626125
Strategy6,20.56943661971831,12.3405,253.83713260563383,3132.4771349198245,38656.3340834781,1.0329325186287865,1.031461450072304,1.0299924765633286,0.003939533943418826,0.9681174539141201
Strategy7,19.885270270270272,12.3581,245.74415852702705,3036.930885492853,37530.695576009224,1.0,1.0,1.0,0.004069272718399203,1.0
Strategy8,20.902638888888895,12.3475,258.09533368055565,3186.832132620661,39349.40975753361,1.050260300092424,1.0493594529410837,1.048459378479704,0.003874537310456372,0.9521449110396717
Strategy9,20.78000000000001,12.3893,257.4496540000001,3189.6209983022018,39517.17143426547,1.0476328533835146,1.0502777700798973,1.052929364291507,0.0038842545890545245,0.9545328754919474
