Strategy,ExecutionTime,AvgGPUUtil,AvgMemUtil,AvgPower,MaxPower,AvgTemp,AvgSMClock,AvgMemClock,MemoryUsedMB
0,iterations),62.7273,2.90909,66.9355, 93.20 W,46.9091,1332.27,4475.18,0.196467
2,iterations),63.1818,3,67.8118, 93.60 W,51.4545,1324.09,4512,0.1962
3,iterations),62.8182,2.90909,68.3782, 93.98 W,53.2727,1322.73,4512,0.1962
4,iterations),62.9091,2.90909,68.5009, 94.10 W,54,1322.73,4512,0.1962
5,iterations),63.2727,3,68.4873, 93.28 W,54.5455,1322.73,4512,0.196378
6,iterations),62.7273,2.90909,68.7909, 94.70 W,55,1322.73,4512,0.196733
7,iterations),62.9091,2.90909,69.2573, 95.00 W,55.1818,1322.73,4512,0.1962
8,iterations),63.1818,3,69.0309, 94.86 W,55.5455,1322.73,4512,0.1962
9,iterations),62.7273,2.90909,69.2209, 95.25 W,55.7273,1322.73,4512,0.1962
