Strategy,ExecutionTime,AvgGPUUtil,AvgMemUtil,AvgPower,MaxPower,AvgTemp,AvgSMClock,AvgMemClock,MemoryUsedMB
0,iterations),63.1818,3,67.28, 94.04 W,47.5455,1333.64,4475.18,0.196467
2,iterations),62.7273,2.90909,68.8509, 95.08 W,52.2727,1330.91,4512,0.1962
3,iterations),63.1818,3,69.4036, 95.39 W,53.9091,1330.91,4512,0.1962
4,iterations),62.7273,2.90909,68.9791, 94.80 W,54.6364,1324.09,4512,0.1962
5,iterations),63.1818,3,69.1064, 94.79 W,54.9091,1322.73,4512,0.196999
6,iterations),62.7273,2.90909,68.9955, 94.94 W,55.3636,1322.73,4512,0.196999
7,iterations),62.7273,2.90909,69.1736, 94.83 W,55.5455,1322.73,4512,0.1962
8,iterations),63.1818,3,69.1036, 94.70 W,55.8182,1322.73,4512,0.1962
9,iterations),62.7273,2.90909,69.1555, 94.75 W,55.8182,1322.73,4512,0.1962
