Strategy,ExecutionTime,AvgGPUUtil,AvgMemUtil,AvgPower,MaxPower,AvgTemp,AvgSMClock,AvgMemClock,MemoryUsedMB
0,iterations),63.2727,3.09091,65.1755, 93.91 W,46.7273,1339.09,4475.18,0.1962
2,iterations),63.1818,3,68.8609, 94.87 W,51.2727,1332.27,4512,0.1962
3,iterations),62.7273,2.90909,68.9145, 95.17 W,53.2727,1329.55,4512,0.1962
4,iterations),63.1818,3,68.9591, 94.50 W,54,1322.73,4512,0.1962
5,iterations),62.7273,2.90909,68.8, 94.69 W,54.5455,1322.73,4512,0.1962
6,iterations),63.1818,3,69.0773, 94.85 W,54.9091,1322.73,4512,0.1962
7,iterations),62.7273,2.90909,69.0373, 94.79 W,55.1818,1322.73,4512,0.196555
8,iterations),62.7273,2.90909,69.0664, 94.93 W,55.4545,1322.73,4512,0.1962
9,iterations),62.7273,2.90909,69.2745, 95.00 W,55.8182,1322.73,4512,0.1962
