Kernel,Model,Power (W),MAE (W),Error (%)
Baseline,Basic,20.31859375,8.790338318808427,42.990131930447326
Baseline,Memory Aware,20.31859375,1.3816199457856506,5.971197161132899
Strategy1,Basic,57.28021052631578,35.84525611023158,54.875111549495216
Strategy1,Memory Aware,57.28021052631578,5.525757953058849,9.402733200311939
Strategy2,Basic,25.041129032258063,9.142300094209945,34.793213560990026
Strategy2,Memory Aware,25.041129032258063,5.869861797185603,17.6851412112956
Strategy3,Basic,21.080333333333332,8.652812190220214,39.57620945769034
Strategy3,Memory Aware,21.080333333333332,0.685107959257197,3.912284123256813
Strategy4,Basic,20.586875,8.419244568808427,40.24183197672444
Strategy4,Memory Aware,20.586875,1.743072307597049,9.479421176177215
Strategy5,Basic,21.047540983606563,8.296255015132292,38.13991022530531
Strategy5,Memory Aware,21.047540983606563,1.325066744030219,6.259507615035989
Strategy6,Basic,20.67459016393443,8.189907294479742,38.89530081502542
Strategy6,Memory Aware,20.67459016393443,1.4780767609753347,7.975270032325018
Strategy7,Basic,20.167704918032783,7.78995850563029,38.54006733554295
Strategy7,Memory Aware,20.167704918032783,1.8255584177227735,9.02583969785279
Strategy8,Basic,21.09016666666667,8.737554754719266,40.199932033321
Strategy8,Memory Aware,21.09016666666667,1.4942600160961859,8.893820373228568
Strategy9,Basic,21.192499999999995,8.740653303392232,39.43648887616646
Strategy9,Memory Aware,21.192499999999995,1.3053397206413777,5.64299183305773
