kernel,avg_power_watts,max_power_watts,avg_clock_mhz,avg_memory_util_pct,avg_memory_bandwidth_pct,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy4,20.586875,50.06,481.171875,0.0,0.0,12.3438,254.120267625,3136.809759509475,1.0164610646133063,1.0121562151104546
Strategy7,20.167704918032783,50.13,459.8360655737705,0.0,0.0,12.3963,250.0049204754098,3099.1359956893225,1.0,1.0
Strategy9,21.192499999999995,49.91,471.75,0.0,0.0,12.3579,261.89479574999996,3236.4696963989245,1.0475585650553612,1.0443135444525904
Strategy1,57.28021052631578,120.15,1059.157894736842,21.221052631578946,21.221052631578946,12.3578,707.8573856421051,8747.560000288006,2.831373815747475,2.8225802328310983
Strategy3,21.080333333333332,50.09,484.5,0.0,0.0,12.3801,260.9766347,3230.91683524947,1.0438859931385605,1.0425217995413707
Strategy8,21.09016666666667,50.24,516.5,0.0,0.0,12.3342,260.1303337,3208.4995619225397,1.0405008557645015,1.0352884050217008
Baseline,20.31859375,50.91,445.78125,0.0,0.0,12.3602,251.14188246875003,3104.1638956902443,1.0045477584648261,1.0016223553945085
Strategy2,25.041129032258063,49.32,450.48387096774195,0.0,0.0,12.372,309.80884838709676,3832.955072245161,1.2392110035193056,1.2367818248623257
Strategy6,20.67459016393443,50.48,485.1639344262295,0.0,0.0,12.3874,256.1044181967213,3172.4678699700657,1.0243975106958403,1.0236620381883024
Strategy5,21.047540983606563,51.31,495.4918032786885,0.0,0.0,12.4009,261.0084509836066,3236.7396998026074,1.0440132557682165,1.0444006666066548
