kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy5,20.648767123287673,49.76,489.86301369863014,12.3381,254.76655364383566,3143.335215513009,1.0745859625825553,1.0753703891557231
Strategy4,20.46708333333333,50.19,498.75,12.3955,253.6997314583333,3144.7350212917704,1.0700861876760142,1.0758492784824547
Baseline,20.05613333333333,50.26,473.4,12.343,247.5528537333333,3055.544873630533,1.0441591245567685,1.0453363241764764
Strategy6,20.28,50.49,470.8333333333333,12.4084,251.64235200000002,3122.4789605568003,1.061408317468917,1.0682352293745132
Strategy9,20.52189189189189,50.01,483.64864864864865,12.3413,253.2668244054054,3125.6418600344296,1.068260218625031,1.0693172929181445
Strategy7,20.665070422535212,51.23,460.3521126760563,12.3428,255.06483121126763,3148.214198674434,1.0758440746947273,1.077039544260496
Strategy1,55.73327433628319,117.54,1053.1858407079646,12.3359,687.5200988849558,8481.179187834927,2.899907529808593,2.901506946732999
Strategy3,19.520704225352112,50.15,454.85915492957747,12.3231,240.5555902394366,2964.390594079601,1.0146451988883916,1.0141514182236773
Strategy2,25.6748,63.79,475.4,12.3819,317.90280612000004,3936.2407550972284,1.340889877561137,1.346632306897847
Strategy8,19.229583333333334,50.32,440.0,12.3291,237.08345587500003,2923.025635828463,1.0,1.0
