kernel,avg_power_watts,max_power_watts,avg_clock_mhz,avg_memory_util_pct,avg_memory_bandwidth_pct,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy2,26.57822580645162,49.95,501.0483870967742,0.0,0.0,12.3767,328.9507273387097,4071.3244670530084,1.3210237591391971,1.32041565122578
Strategy4,21.677377049180325,50.35,484.42622950819674,0.0,0.0,12.3948,268.6867530491803,3330.3185666939803,1.0790113991098176,1.0800919441858094
Strategy5,20.946500000000004,50.49,443.5,0.0,0.0,12.3361,258.3981186500001,3187.625031478266,1.0376935683198611,1.03381344716296
Strategy6,20.822372881355932,50.49,438.5593220338983,0.0,0.0,12.3974,258.143285559322,3200.3055683931384,1.0366701914447767,1.037926010419424
Strategy9,20.821,50.43,476.0,0.0,0.0,12.3735,257.6286435,3187.76802034725,1.0346034552094845,1.0338598214428991
Strategy8,21.374754098360654,50.57,489.0983606557377,0.0,0.0,12.3569,264.12569891803275,3263.7748489602386,1.0606947930858341,1.0585104251746305
Strategy3,21.6065,49.6,474.25,0.0,0.0,12.3224,266.2439356,3280.7642720374397,1.0692013588168097,1.0640204503072308
Strategy7,21.306721311475403,51.11,504.8360655737705,0.0,0.0,12.3212,262.52437462295075,3234.6153246043004,1.0542640809332753,1.049053381734968
Baseline,20.110153846153842,49.91,449.53846153846155,0.0,0.0,12.3824,249.01196898461535,3083.365804755101,1.0,1.0
Strategy1,58.335,129.51,1064.21875,21.333333333333332,21.322916666666668,12.3498,720.425583,8897.1118649334,2.893136365844767,2.885519405842947
