timestamp,kernel,power_watts,utilization,sm_clock,mem_clock,temperature,pstate,basic_prediction,basic_error,basic_abs_error,clock_ratio,f_cubed_normalized,util_x_clock,dvfs_prediction,dvfs_error,dvfs_abs_error
20.52172803878784,Strategy9,19.49,0.0,300.0,810.0,41.0,P5,22.37139452009724,-2.881394520097242,2.881394520097242,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,344.6569809007385,344.6569809007385
20.738714456558228,Strategy9,19.17,0.0,300.0,810.0,41.0,P5,22.37139452009724,-3.2013945200972387,3.2013945200972387,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,344.3369809007385,344.3369809007385
20.95472741127014,Strategy9,18.92,0.0,300.0,810.0,41.0,P5,22.37139452009724,-3.4513945200972387,3.4513945200972387,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,344.0869809007385,344.0869809007385
21.171760082244877,Strategy9,18.51,0.0,300.0,810.0,41.0,P5,22.37139452009724,-3.861394520097239,3.861394520097239,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,343.6769809007385,343.6769809007385
21.39089727401733,Strategy9,18.76,0.0,300.0,810.0,41.0,P5,22.37139452009724,-3.611394520097239,3.611394520097239,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,343.9269809007385,343.9269809007385
21.609675645828247,Strategy9,19.19,0.0,300.0,405.0,41.0,P8,22.37139452009724,-3.181394520097239,3.181394520097239,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,344.3569809007385,344.3569809007385
21.8427677154541,Strategy9,15.4,0.0,300.0,405.0,41.0,P8,22.37139452009724,-6.97139452009724,6.97139452009724,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,340.5669809007385,340.5669809007385
22.070863723754886,Strategy9,15.45,0.0,300.0,405.0,41.0,P8,22.37139452009724,-6.921394520097241,6.921394520097241,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,340.6169809007385,340.6169809007385
22.29743218421936,Strategy9,15.86,0.0,300.0,405.0,41.0,P8,22.37139452009724,-6.511394520097241,6.511394520097241,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,341.0269809007385,341.0269809007385
22.53538465499878,Strategy9,17.23,0.0,300.0,405.0,41.0,P8,22.37139452009724,-5.14139452009724,5.14139452009724,0.15384615384615385,0.3641329085116068,0.0,-325.1669809007385,342.3969809007385,342.3969809007385
