kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy6,20.36647887323944,50.34,450.4225352112676,12.3583,251.69505585915496,3110.5230088241947,1.0320109789830723,1.033491182079194
Strategy3,20.20830985915493,50.48,472.1830985915493,12.3284,249.13612726760564,3071.4498314059497,1.0215187490427657,1.0205088687502093
Strategy7,21.02333333333333,50.58,494.5833333333333,12.3477,259.58981299999994,3205.337133980099,1.064381404448705,1.06499378212658
Strategy8,21.195,50.65,476.6666666666667,12.3474,261.703143,3231.3533878782005,1.073046571727298,1.0736378490304879
Strategy5,19.763055555555557,50.39,452.0833333333333,12.3406,243.88796338888892,3009.723800996923,1.0,1.0
Strategy1,56.165,118.1,1045.982142857143,12.3197,691.9359505,8524.44332937485,2.83710577957749,2.832300866461987
Strategy2,26.182702702702706,60.01,497.8378378378378,12.3411,323.1233523243244,3987.69760336972,1.3248843765573275,1.3249380564584894
Strategy4,20.21506666666667,50.27,451.0,12.3772,250.2059231466667,3096.848751970923,1.0259051724816102,1.0289478227022497
Baseline,20.375466666666668,50.83,456.6,12.3756,252.15862528000002,3120.6142830151684,1.033911726418098,1.0368440725296837
Strategy9,20.545277777777777,49.95,474.375,12.318,253.07673166666666,3117.3991806699996,1.0376761860245063,1.0357758341936263
