kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Baseline,20.756666666666664,51.22,471.6,12.3069,255.45022099999997,3143.8003248248997,1.0298568122271512,1.0269113126021558
Strategy3,20.0972602739726,51.4,446.3013698630137,12.3422,248.04440575342466,3061.413664689918,1.0,1.0
Strategy6,20.84638888888889,50.1,479.5833333333333,12.3828,258.13666433333333,3196.4546871067996,1.0406873057638766,1.04411067474299
Strategy2,26.441486486486486,57.42,495.4054054054054,12.3876,327.546558,4057.5157418808003,1.3205158044386884,1.3253732380827323
Strategy4,20.827916666666667,50.13,500.4166666666667,12.3853,257.9599962916667,3194.91194207118,1.0399750621592285,1.0436067425062545
Strategy8,20.74388888888889,50.42,484.1666666666667,12.3313,255.79911705555557,3154.3356521471724,1.0312633993037508,1.0303526401965892
Strategy7,20.16864864864865,50.47,466.2162162162162,12.3469,249.020288,3074.6285939072,1.003934304600062,1.0043166101235197
Strategy5,21.223055555555554,50.09,507.2916666666667,12.373,262.59286638888887,3249.061535829722,1.0586526456473544,1.0612945167469912
Strategy1,56.7266371681416,118.3,1060.6194690265486,12.3691,701.6574477964602,8678.871137539196,2.8287573979554375,2.8349227148361393
Strategy9,20.76361111111111,50.12,467.2916666666667,12.3428,256.2810992222222,3163.2263514800447,1.033206527854474,1.033256755845976
