timestamp,kernel,power_watts,utilization,sm_clock,mem_clock,temperature,pstate,memory_utilization,memory_used_MiB,memory_total_MiB,memory_free_MiB,memory_bandwidth_pct
11.816298961639404,Baseline,16.3,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
12.071736097335815,Baseline,15.48,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
12.324906826019287,Baseline,16.61,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
12.577054977416992,Baseline,15.73,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
12.829343557357788,Baseline,16.83,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
13.082315921783447,Baseline,15.6,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
13.335631847381592,Baseline,14.69,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
13.589160680770874,Baseline,16.55,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
13.845410823822021,Baseline,14.31,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
14.099348545074463,Baseline,15.78,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
14.365026235580444,Baseline,15.11,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
14.635581731796265,Baseline,15.42,1.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
14.906949281692505,Baseline,16.03,1.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
15.179434537887573,Baseline,15.41,1.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
15.448700904846191,Baseline,14.42,1.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
