kernel,avg_power_watts,max_power_watts,avg_clock_mhz,avg_memory_util_pct,avg_memory_bandwidth_pct,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Baseline,20.70640625,52.1,464.53125,0.0,0.0,12.413,257.02862078125,3190.4962697576566,1.0356302405414817,1.0354050255596874
Strategy7,20.74983333333333,50.19,468.5,0.0,0.0,12.3786,256.85388689999996,3179.49152438034,1.034926195634266,1.031833678751768
Strategy2,26.096666666666668,52.19,495.95238095238096,0.0,0.0,12.3524,322.35646533333335,3981.8760023834666,1.298851866062751,1.2922298211420642
Strategy4,20.324126984126988,50.49,474.2857142857143,0.0,0.0,12.3625,251.2570198412699,3106.1649077876996,1.01237506976862,1.008037146517278
Strategy8,20.506666666666664,50.26,443.75,0.0,0.0,12.3359,252.9681893333333,3120.5902867970663,1.0192697839342502,1.0127185843435744
Strategy1,56.96907216494845,120.28,1039.020618556701,20.536082474226806,20.536082474226806,12.3863,705.6360185567011,8740.219416648866,2.843177531791507,2.8364449738660844
Strategy5,21.13295081967213,50.53,486.1475409836066,0.0,0.0,12.4157,262.38037749180324,3257.6360528249816,1.0571937577584485,1.0571937577584485
Strategy9,20.3705,50.32,465.75,0.0,0.0,12.3571,251.72030555,3110.532987711905,1.014241759511238,1.0094547102826517
Strategy3,19.989666666666665,49.35,447.75,0.0,0.0,12.4157,248.18570443333329,3081.399250532936,1.0,1.0
Strategy6,20.979666666666667,50.63,476.25,0.0,0.0,12.3648,259.4093824,3207.5451314995207,1.0452229027142923,1.0409378567041474
