Kernel,Model,Power (W),MAE (W),Error (%)
Baseline,Basic,20.110153846153842,7.504969952674411,37.0285022351343
Baseline,Memory Aware,20.110153846153842,2.2659770326193525,11.623749180734858
Strategy1,Basic,58.335,36.57302825584822,53.86243941275146
Strategy1,Memory Aware,58.335,6.7616345095973145,13.923801616786555
Strategy2,Basic,26.57822580645162,10.073455463232795,35.42726927450078
Strategy2,Memory Aware,26.57822580645162,5.619197162011947,17.162291137915613
Strategy3,Basic,21.6065,8.116169356716208,35.88673890069575
Strategy3,Memory Aware,21.6065,1.7216030733059422,6.748967116689007
Strategy4,Basic,21.677377049180325,7.784590065294723,34.062856806408824
Strategy4,Memory Aware,21.677377049180325,1.6165888153447288,7.110267863610234
Strategy5,Basic,20.946500000000004,7.7966477227257505,35.25618101893065
Strategy5,Memory Aware,20.946500000000004,1.2809932884271367,5.1716591643681955
Strategy6,Basic,20.822372881355932,7.936567268533012,36.58406575790499
Strategy6,Memory Aware,20.822372881355932,1.674791534196017,6.760670286592442
Strategy7,Basic,21.306721311475403,8.448923687922365,37.97856164730589
Strategy7,Memory Aware,21.306721311475403,1.4197142156028426,7.445499683960274
Strategy8,Basic,21.374754098360654,8.463898421039943,37.97705472742564
Strategy8,Memory Aware,21.374754098360654,1.765142690666018,8.372328282447299
Strategy9,Basic,20.821,8.36262947022957,38.20638842636349
Strategy9,Memory Aware,20.821,1.8408032628967796,9.333252487560113
