kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy5,21.481805555555553,50.5,478.5416666666667,12.3728,265.79008377777774,3288.5675485656884,1.050515014325543,1.0484558621973752
Strategy7,20.40875,51.37,452.9166666666667,12.3971,253.00931462500003,3136.581774337588,1.0,1.0
Strategy2,26.14013157894737,64.69,485.92105263157896,13.0476,341.06598078947366,4450.092490948736,1.3480372503083042,1.418771392270985
Strategy4,20.84605633802817,50.71,492.0422535211268,12.4139,258.78085877464787,3212.479702742601,1.0228115876215949,1.0241976565144846
Strategy1,56.28207207207208,118.46,1033.6486486486488,12.5303,705.2312476846848,8836.759102863407,2.7873726654291344,2.81732144692119
Strategy9,20.61263888888889,49.86,487.5,12.3801,255.18653070833335,3159.234768822238,1.0086052803493037,1.0072221915812904
Strategy6,20.890416666666667,50.94,460.0,12.3536,258.0718513333333,3188.1164226314663,1.020009289839138,1.0164301943968166
Strategy8,20.83111111111111,50.69,470.4166666666667,12.4881,260.14099866666663,3248.6668054491993,1.0281874367046007,1.0357347708988975
Strategy3,20.320533333333337,50.37,467.6,14.2836,290.25036992,4145.820183789312,1.147192427876409,1.3217637804660345
Baseline,20.491600000000005,50.42,457.2,12.4002,254.09993832000006,3150.890055155665,1.0043106068905665,1.0045617432757987
