kernel,avg_power_watts,max_power_watts,avg_clock_mhz,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy1,56.66324561403509,118.34,1057.1052631578948,12.3416,699.3151120701755,8630.667387125277,2.8457039071114463,2.8419044464769363
Baseline,20.215270270270267,50.1,464.18918918918916,12.3344,249.3432296216216,3075.4991314449294,1.0146456018168128,1.0126997443821701
Strategy9,20.779999999999998,50.38,492.7083333333333,12.3893,257.44965399999995,3189.6209983021995,1.0476328533835142,1.0502777700798966
Strategy5,20.223055555555554,50.33,474.1666666666667,12.3931,250.62634980555555,3106.037415775231,1.0198669677757226,1.022755384593207
Strategy8,20.90263888888889,51.97,488.5416666666667,12.3475,258.0953336805556,3186.83213262066,1.050260300092424,1.0493594529410835
Strategy3,20.61111111111111,50.75,488.9583333333333,12.3973,255.52212777777777,3167.784474699444,1.0397892235134263,1.0430874439163786
Strategy4,21.230972222222224,50.38,491.6666666666667,12.3159,261.4785307916667,3220.3434373770874,1.0640274517976354,1.060394048728728
Strategy7,19.88527027027027,50.01,446.9594594594595,12.3581,245.74415852702703,3036.9308854928527,1.0,1.0
Strategy2,24.925616438356162,51.37,460.6849315068493,12.4014,309.11253969863014,3833.428249818592,1.2578632247107262,1.262270494244876
Strategy6,20.56943661971831,48.78,459.71830985915494,12.3405,253.83713260563383,3132.4771349198245,1.0329325186287865,1.031461450072304
