kernel,avg_power_watts,max_power_watts,avg_clock_mhz,avg_memory_util_pct,avg_memory_bandwidth_pct,execution_time_sec,energy_joules,edp,energy_normalized,edp_normalized
Strategy7,21.28983333333333,50.41,493.0,0.0,0.0,12.3756,263.4744614,3260.65454450184,1.0935376710764246,1.099901235547253
Baseline,19.582063492063494,48.36,425.23809523809524,0.0,0.0,12.304,240.93770920634924,2964.497574074921,1.0,1.0
Strategy9,20.43777777777778,49.96,463.8095238095238,0.0,0.0,12.4021,253.4713637777778,3143.5772007083783,1.052020311028583,1.0604080867528924
Strategy8,20.774590163934427,50.83,486.1475409836066,0.0,0.0,12.4013,257.631925,3194.9707915025006,1.069288513818122,1.0777444446044113
Strategy1,58.10326315789473,120.19,1066.7368421052631,21.610526315789475,21.610526315789475,12.3643,718.4061766631578,8882.589490116283,2.981709168853616,2.996322064081337
Strategy3,20.831500000000002,51.49,476.25,0.0,0.0,12.3318,256.8898917,3167.91476646606,1.0662087414468968,1.0686177631481504
Strategy5,20.779354838709676,50.36,481.69354838709677,0.0,0.0,12.3407,256.4317842580645,3164.5477199934967,1.0643073892532342,1.0674819732247554
Strategy2,26.710322580645162,50.87,487.01612903225805,0.0,0.0,12.3279,329.2821857419355,4059.3578576080067,1.3666693637396723,1.3693240612196282
Strategy4,20.870166666666663,51.37,464.0,0.0,0.0,12.3377,257.48985528333327,3176.8325875291807,1.0686988605125654,1.0716259697127664
Strategy6,19.969,51.19,441.0,0.0,0.0,12.3857,247.3300433,3063.35571730081,1.0265310652894775,1.0333473517031762
