Seed,Start_Time,End_Time,Execution_Time_ms,Avg_GPU_Util,Avg_Mem_Util,Avg_Power_Draw,Max_Power_Draw,Avg_Temp,Avg_SM_Clock,Avg_Mem_Clock,Execution_Time_us
0,1742456515.322609198,1742456516.444881456,1122.272258000,0,0,14.63, 14.63 W,40,300,405,
42,1742456522.459498386,1742456523.569504057,1110.005671000,0,0,14.96, 14.96 W,40,300,405,
100,1742456529.583594266,1742456530.700691579,1117.097313000,0,0,14.63, 14.63 W,40,300,405,
500,1742456536.715601041,1742456537.812511560,1096.910519000,0,0,15.1, 15.10 W,40,300,405,
1000,1742456543.827380063,1742456544.931856835,1104.476772000,0,0,14.96, 14.96 W,40,300,405,
1500,1742456550.946395595,1742456552.046331798,1099.936203000,0,0,14.73, 14.73 W,40,300,405,
2000,1742456558.060337581,1742456559.164887999,1104.550418000,0,0,14.81, 14.81 W,40,300,405,
